V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,default,implementation,commitment,loss_aversion,social_norms,counter1,counter2,default_trial,implementation_trial,commitment_trial,loss_aversion_trial,social_norms_trial,Q3,Q56,Q11,Q12,Q13,Q14,Q15,Q17,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,Q206,Q207,Q208,Q209,Q210,Q211,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_time_1,p2_time_2,p2_time_3,p2_time_4,Q227,Q228,Q229,Q230,Q231,Q232,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_time_1,p3_time_2,p3_time_3,p3_time_4,Q213,Q214,Q215,Q216,Q217,Q218,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_time_1,p4_time_2,p4_time_3,p4_time_4,Q220,Q221,Q222,Q223,Q224,Q225,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_time_1,p5_time_2,p5_time_3,p5_time_4,Q70,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,attitude3,attitude4,libert_1,libert_2,libert_3,libert_4,libert_5,libert_6,gender,age_1,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
R_eRQyevl6gZv8Iip,Default Response Set,Anonymous,,,184.21.128.170,0,2014-05-17 09:29:45,2014-05-17 09:37:24,1,control,tax breaks,intelligent design,food stamps,safe sex,6,6,5,4,3,2,1,1,1,1,1,,,,,2,4,2,4,4,4,34.397,42.857,43.796,6,1,,,1,,,3,3,4,2,2,3,52.437,62.92399999999999,65.792,7,1,,,,,1,4,1,4,3,2,3,48.779,56.836000000000006,57.91,6,1,,1,,,,3,3,3,4,3,3,45.787,57.494,58.66,7,1,,,,1,,4,2,3,4,2,4,73.295,82.09299999999999,83.254,6,1,3,6,,,6,,,3,3,4,6,6,2,6,6,6,3,2,57,no,45.067092895508,-89.9833984375,-1,
R_42PbM0IUnhUgiq1,Default Response Set,Anonymous,,,68.56.152.184,0,2014-05-17 09:34:28,2014-05-17 09:37:47,1,food stamps,tax breaks,control,intelligent design,safe sex,6,6,4,1,3,5,2,1,1,1,,1,,,,3,3,3,3,3,3,8.108,10.536000000000003,11.873,7,1,,,1,,,5,1,5,2,1,2,20.026,49.821999999999996,50.407,22,1,1,,,,,4,2,4,3,2,3,6.073,14.425999999999998,14.965,9,1,,,,,1,3,3,3,3,3,3,18.844,21.235000000000007,22.088,6,1,,,,1,,4,2,4,2,2,3,17.622,23.776000000000003,24.99,7,1,2,2,,,2,,,6,1,7,1,4,6,3,4,2,5,1,18,,27.04069519043,-82.352500915527,-1,
R_1WY7ODDjQqvWGBT,Default Response Set,Anonymous,,,174.100.73.83,0,2014-05-17 09:32:22,2014-05-17 09:38:11,1,tax breaks,food stamps,control,intelligent design,safe sex,6,6,3,2,4,1,5,1,1,1,,,1,,,2,3,3,4,4,4,27.405,69.048,70.216,10,1,,1,,,,4,3,3,4,3,4,26.189,52.941,54.834,9,1,1,,,,,2,4,2,4,4,4,14.571,23.982,26.037,6,1,,,,,1,4,3,4,2,2,2,10.649,68.75500000000001,69.913,9,1,,,,1,,4,2,4,2,2,2,18.897,28.052999999999997,29.842,6,1,2,2,,,2,,,6,3,7,5,6,5,5,5,2,3,2,22,,41.364898681641,-82.11499786377,-1,
R_3rYoUkxYlEToMzb,Default Response Set,Anonymous,,,50.189.216.226,0,2014-05-17 09:34:36,2014-05-17 09:38:23,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,3,1,4,2,5,1,1,1,1,,,,,4,2,3,3,2,3,9.106,42.26800000000001,42.693,11,1,,1,,,,4,1,5,2,1,3,19.064,29.149,29.831,7,1,,,1,,,3,3,2,3,4,3,12.905,18.548,19.268,6,1,,,,1,,4,2,4,2,2,3,26.954,32.367,32.917,6,1,,,,,1,4,2,4,2,2,3,24.279,27.834000000000003,28.32,6,1,2,3,,,3,,,6,5,7,2,,6,3,5,6,6,1,20,,41.37809753418,-73.469100952148,-1,
R_cvgwB6H4gJap4Rn,Default Response Set,Anonymous,,,173.60.212.202,0,2014-05-17 09:30:49,2014-05-17 09:38:32,1,food stamps,control,safe sex,intelligent design,tax breaks,6,6,4,5,1,3,2,1,1,1,,1,,,,3,3,3,,3,3,1.943,3.9349999999999996,5.888,6,1,1,,,,,3,3,3,3,3,3,1.778,3.9539999999999997,5.443,6,1,,,,1,,3,3,3,3,3,3,350.901,355.388,356.198,6,1,,,,,1,3,3,3,3,3,3,9.626,11.729999999999999,12.659,6,1,,,1,,,3,3,3,3,3,3,18.756,21.412,22.125,6,1,2,4,,,4,,,4,4,4,4,4,4,4,4,4,4,2,37,,34.426605224609,-117.1450958252,-1,
R_6DRyteqJ5ocvKVD,Default Response Set,Anonymous,,,50.136.36.230,0,2014-05-17 09:34:56,2014-05-17 09:39:04,1,food stamps,control,safe sex,intelligent design,tax breaks,6,6,5,1,4,3,2,1,1,1,,1,,,,4,2,3,4,2,4,20.593,27.574,28.561,6,1,1,,,,,4,2,5,3,1,2,28.164,37.591,39.244,7,1,,,,1,,4,2,3,3,2,4,16.283,22.979000000000003,23.836,6,1,,,,,1,2,4,3,4,4,5,23.891,30.467,31.436,6,1,,,1,,,2,4,2,5,4,4,27.693,34.746,35.821,6,1,2,1,,,2,,,7,1,7,1,3,6,3,3,5,2,2,27,No,42.794998168945,-71.225601196289,-1,
R_elNbQgtMpi6S461,Default Response Set,Anonymous,,,24.154.179.241,0,2014-05-17 09:31:38,2014-05-17 09:39:10,1,food stamps,control,safe sex,tax breaks,intelligent design,6,6,2,4,3,5,1,1,1,1,,1,,,,2,4,2,4,4,4,192.508,208.359,208.754,6,1,1,,,,,4,1,4,3,2,4,9.491,16.451,17.053,6,1,,,,1,,2,5,4,5,2,5,23.499,31.993999999999996,32.335,9,1,,,1,,,4,2,4,4,2,4,11.54,15.890999999999998,16.676,6,1,,,,,1,4,2,4,2,2,4,44.169,60.308,60.873,7,1,2,2,,,,,1,7,1,7,1,3,6,3,5,3,3,2,28,Nope,40.914001464844,-79.931999206543,-1,
R_9otda6J77Z2FpGJ,Default Response Set,Anonymous,,,71.91.125.177,0,2014-05-17 09:32:45,2014-05-17 09:39:29,1,food stamps,tax breaks,control,intelligent design,safe sex,6,6,5,4,3,1,2,1,1,1,,1,,,,3,3,3,3,3,3,38.531,45.41099999999999,46.15,6,1,,,1,,,3,3,2,3,4,2,33.732,48.268,49.072,8,1,1,,,,,4,2,3,4,3,5,39.571,55.643,56.391,6,1,,,,,1,1,5,1,5,5,5,75.114,85.69800000000001,86.318,6,1,,,,1,,4,1,4,3,1,1,59.94,70.363,71.191,6,1,3,4,,,4,,,5,2,6,1,5,5,6,6,1,1,1,29,,32.740600585938,-97.38020324707,-1,
R_dmQKiCHHN6hHiKh,Default Response Set,Anonymous,,,69.135.189.103,0,2014-05-17 09:34:30,2014-05-17 09:40:30,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,5,3,4,1,2,1,1,1,,1,,,,4,2,5,4,3,3,34.148,47.42100000000001,48.378,6,1,1,,,,,5,1,5,2,1,3,29.618,44.774,45.713,6,1,,,1,,,4,2,4,4,2,3,26.265,38.094,38.878,6,1,,,,,1,4,2,3,3,3,4,3.137,62.857,63.723,8,1,,,,1,,4,2,3,2,2,4,5.994,30.201,31.084,6,1,2,4,,,3,,,5,3,7,5,4,6,5,5,2,2,1,19,,39.83740234375,-84.407897949219,-1,
R_6tIXaMqcybNwtaB,Default Response Set,Anonymous,,,99.179.54.2,0,2014-05-17 09:35:45,2014-05-17 09:40:40,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,5,1,3,4,2,1,1,1,,1,,,,5,1,5,1,1,1,36.668,42.404,44.719,6,1,1,,,,,2,4,2,5,4,4,30.832,50.912000000000006,51.435,11,1,,,1,,,1,5,1,5,5,5,11.432,20.358999999999998,27.754,8,1,,,,,1,1,5,1,5,5,5,10.033,14.104000000000001,21.731,6,1,,,,1,,1,5,2,5,5,5,30.453,37.260999999999996,48.415,6,1,2,2,,,2,,,7,1,7,1,7,5,1,7,3,1,2,28,,38.581695556641,-90.294998168945,-1,
R_3vAhhbSbQPDctPT,Default Response Set,Anonymous,,,68.12.246.220,0,2014-05-17 09:33:10,2014-05-17 09:40:42,1,tax breaks,food stamps,safe sex,control,intelligent design,6,6,1,5,3,4,2,1,1,1,,,1,,,2,4,3,4,3,4,51.53,69.051,74.725,6,1,,1,,,,4,2,4,3,2,4,37.547,51.57899999999999,54.929,6,1,,,,1,,2,4,2,4,3,4,36.323,63.370999999999995,66.616,8,1,1,,,,,4,2,3,4,2,2,29.473,45.483999999999995,52.492,6,1,,,,,1,4,2,4,3,2,3,51.78,72.75,77.028,8,1,1,4,,,6,,,2,4,5,3,7,4,7,6,2,2,1,38,,35.542297363281,-97.618896484375,-1,
R_6rhbjSBv7oSlE2x,Default Response Set,Anonymous,,,50.13.112.73,0,2014-05-17 09:33:52,2014-05-17 09:41:24,1,safe sex,tax breaks,control,intelligent design,food stamps,6,6,1,2,5,4,3,1,1,1,,,,1,,4,2,4,4,2,3,44.265,53.113,53.995,6,1,,,1,,,3,2,3,5,3,4,53.119,69.88900000000001,70.732,6,1,1,,,,,2,2,3,4,3,4,34.307,47.25300000000001,47.937,7,1,,,,,1,4,1,4,4,1,3,47.314,58.967,60.015,6,1,,1,,,,4,2,3,4,3,4,36.657,48.06999999999999,49.092,6,1,2,2,,,2,,,6,1,6,1,2,6,3,4,3,4,1,59,,41.499496459961,-81.69539642334,-1,
R_9oWFCQmD1ZUiDTT,Default Response Set,Anonymous,,,75.130.144.159,0,2014-05-17 09:37:52,2014-05-17 09:42:13,1,intelligent design,safe sex,food stamps,tax breaks,control,6,6,1,2,3,5,4,1,1,1,,,,,1,5,1,5,4,2,4,69.409,80.681,81.463,8,1,,,,1,,2,4,2,4,4,4,11.487,21.375,22.165,6,1,,1,,,,5,1,4,3,4,4,21.425,32.321,32.999,6,1,,,1,,,4,4,3,4,2,4,2.645,9.940999999999999,10.675,6,1,1,,,,,3,3,4,4,2,2,4.562,14.209999999999999,17.968,6,1,3,4,,,4,,,1,5,6,6,4,5,3,4,5,2,1,25,fun survey,34.491592407227,-82.615798950195,-1,
R_3OueQrsh0DGRkq1,Default Response Set,Anonymous,,,66.104.174.234,0,2014-05-17 09:35:07,2014-05-17 09:42:15,1,tax breaks,food stamps,control,safe sex,intelligent design,6,6,3,1,2,5,4,1,1,1,,,1,,,4,2,3,3,2,3,55.143,64.244,64.876,6,1,,1,,,,4,2,4,3,2,4,36.174,61.182,62.45,6,1,1,,,,,5,2,4,3,2,3,33.462,51.95900000000001,52.73,7,1,,,,1,,4,2,3,3,2,3,33.091,42.622,43.772,6,1,,,,,1,3,4,3,4,4,3,26.201,38.81,39.914,6,1,2,4,1,1,,1,1,4,3,6,4,5,5,4,4,4,3,1,31,,25.661499023438,-80.412002563477,-1,
R_00rUqX1V2ZY4ggl,Default Response Set,Anonymous,,,24.91.24.81,0,2014-05-17 09:36:12,2014-05-17 09:42:50,1,tax breaks,control,food stamps,intelligent design,safe sex,6,6,4,3,1,2,5,1,1,1,,,1,,,4,2,4,3,2,2,34.184,46.11300000000001,46.868,9,1,1,,,,,5,1,5,1,2,2,36.978,49.13100000000001,49.998,11,1,,1,,,,4,2,4,5,2,4,39.454,57.974,60.584,6,1,,,,,1,4,2,4,5,2,4,76.092,87.30799999999999,95.217,8,1,,,,1,,4,2,4,5,2,3,26.545,40.058,41.013,7,1,3,3,,,4,,,7,4,6,2,4,6,2,4,6,5,1,27,,43.322998046875,-72.470001220703,-1,
R_0e4X90MgmWCv9uB,Default Response Set,Anonymous,,,68.51.17.72,0,2014-05-17 09:37:59,2014-05-17 09:44:00,1,control,food stamps,tax breaks,intelligent design,safe sex,6,6,4,2,1,3,5,1,1,1,1,,,,,1,4,1,5,3,5,40.437,53.06,53.917,7,1,,1,,,,4,1,3,4,1,3,28.222,48.565000000000005,49.436,6,1,,,1,,,3,1,3,5,2,4,33.512,47.473,48.406,6,1,,,,,1,2,1,3,3,3,3,58.918,66.652,67.5,6,1,,,,1,,2,1,2,5,3,3,27.505,40.427,41.08,6,1,3,2,,,5,,,5,5,6,1,6,3,5,6,2,2,1,29,,34.803604125977,-92.244400024414,-1,
R_8wChqPCgPAnOMyp,Default Response Set,Anonymous,,,75.115.134.202,0,2014-05-17 09:41:03,2014-05-17 09:44:21,1,control,food stamps,intelligent design,safe sex,tax breaks,6,6,4,1,3,5,2,1,1,1,1,,,,,2,2,2,2,2,2,4.917,21.03,21.386,13,1,,1,,,,5,1,4,4,2,2,16.748,26.651,27.177,6,1,,,,,1,2,3,2,4,3,3,16.635,26.923000000000002,27.272,8,1,,,,1,,4,1,3,3,2,3,5.9,16.061,16.362,7,1,,,1,,,4,4,4,4,4,4,15.134,23.887,24.457,6,1,1,4,1,,,1,,7,1,7,4,7,5,7,7,2,1,1,22,,27.947494506836,-82.458396911621,-1,
R_3JX7MahB0f3mO9v,Default Response Set,Anonymous,,,74.197.80.87,0,2014-05-17 09:39:40,2014-05-17 09:44:53,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,3,1,4,2,5,1,1,1,,1,,,,1,5,1,1,3,4,26.281,50.918000000000006,51.183,21,1,1,,,,,1,1,1,3,2,3,5.453,95.10199999999996,95.946,41,1,,,1,,,1,1,1,2,1,2,4.833,16.687,17.268,15,1,,,,1,,2,1,3,1,1,1,7.098,41.00900000000001,41.947,17,1,,,,,1,3,1,3,1,1,1,13.104,23.016000000000002,23.727,14,1,3,3,,,5,,,4,4,4,4,6,1,6,5,1,1,1,29,,31.463806152344,-100.43699645996,-1,
R_3OvJpRWyz1zqbcx,Default Response Set,Anonymous,,,192.183.234.7,0,2014-05-17 09:40:56,2014-05-17 09:45:11,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,5,1,3,4,2,1,1,1,,1,,,,2,4,1,3,3,4,18.33,28.736999999999995,29.798,6,1,1,,,,,3,3,4,2,3,3,19.33,30.949999999999996,32.099,6,1,,,1,,,2,4,2,5,3,3,22.549,31.487,33.161,6,1,,,,,1,2,4,2,4,2,3,13.499,28.432,28.982,9,1,,,,1,,4,2,4,5,2,2,19.528,28.878999999999994,30.017,7,1,3,5,,,5,,,3,3,6,4,4,5,4,6,3,2,2,36,no,38.825607299805,-83.528800964355,-1,
R_bHEOfCB0AwqJxqJ,Default Response Set,Anonymous,,,66.87.136.107,0,2014-05-17 09:40:53,2014-05-17 09:45:11,1,food stamps,tax breaks,control,safe sex,intelligent design,6,6,5,3,1,2,4,1,1,1,,1,,,,5,1,4,3,1,3,9.806,19.014999999999997,19.797,8,1,,,1,,,1,4,2,4,4,4,18.913,32.146,32.825,6,1,1,,,,,4,2,4,4,2,3,26.154,38.801,39.807,7,1,,,,1,,3,3,4,4,3,3,25.329,34.85099999999999,35.254,7,1,,,,,1,1,5,3,5,3,5,12.848,22.043999999999997,22.772,6,1,2,2,,,2,,,6,1,6,2,7,1,6,7,2,2,1,31,none,42.225601196289,-83.268501281738,-1,
R_cViBR3H83pysCA5,Default Response Set,Anonymous,,,174.27.197.221,0,2014-05-17 09:38:55,2014-05-17 09:45:39,1,food stamps,safe sex,control,intelligent design,tax breaks,6,6,3,4,5,2,1,1,1,1,,1,,,,2,4,4,4,2,2,19.935,37.935,39.139,6,1,,,,1,,3,3,4,4,2,2,31.645,46.93299999999999,48.037,6,1,1,,,,,2,4,3,4,3,4,23.88,38.675,39.699,6,1,,,,,1,4,2,4,4,2,2,32.722,49.676,50.87,6,1,,,1,,,4,3,4,4,2,3,38.377,65.928,67.189,6,1,2,3,,,4,,,5,2,6,6,3,6,2,3,1,1,1,63,,40.760803222656,-111.89109802246,-1,
R_aeCA5HJRqoaGlHD,Default Response Set,Anonymous,,,173.190.237.50,0,2014-05-17 09:37:32,2014-05-17 09:45:42,1,food stamps,safe sex,intelligent design,tax breaks,control,6,6,1,2,5,4,3,1,1,1,,1,,,,3,3,3,4,3,1,51.132,136.517,139.555,10,1,,,,1,,4,2,4,3,2,1,49.841,60.537,63.406,6,1,,,,,1,1,5,1,5,5,4,28.243,42.66,47.342,7,1,,,1,,,3,3,3,4,3,1,40.141,52.662,58.208,6,1,1,,,,,2,4,2,4,4,2,24.106,33.934,44.163,6,1,3,1,,,3,,,6,2,7,1,5,3,5,5,4,4,2,22,,40.777893066406,-97.072998046875,-1,
R_808sD982f4aAhxP,Default Response Set,Anonymous,,,72.82.59.5,0,2014-05-17 09:42:31,2014-05-17 09:46:29,1,control,tax breaks,food stamps,safe sex,intelligent design,6,6,4,3,2,1,5,1,1,1,1,,,,,3,4,2,5,4,5,15.234,24.705000000000002,25.139,7,1,,,1,,,5,1,5,3,1,3,19.253,26.075,26.646,6,1,,1,,,,4,2,5,3,1,3,17.248,27.583000000000002,28.193,7,1,,,,1,,4,2,4,4,3,4,32.14,42.604000000000006,42.917,7,1,,,,,1,1,5,2,5,4,5,9.268,34.618,35.085,14,1,3,3,,,5,,,7,5,6,1,5,3,7,7,3,2,1,21,,37.552200317383,-77.458198547363,-1,
R_064pC0ZdTbqFEi1,Default Response Set,Anonymous,,,24.183.109.103,0,2014-05-17 09:40:20,2014-05-17 09:46:31,1,control,tax breaks,food stamps,safe sex,intelligent design,6,6,3,4,1,2,5,1,1,1,1,,,,,1,5,1,5,1,5,30.298,46.80799999999999,47.666,6,1,,,1,,,5,1,4,2,1,2,28.79,39.501999999999995,40.533,6,1,,1,,,,4,2,3,4,2,4,50.862,68.15299999999999,69.624,8,1,,,,1,,4,1,3,3,2,3,48.592,58.38999999999999,59.077,6,1,,,,,1,2,3,3,4,2,3,31.283,43.215999999999994,44.073,6,1,3,4,,,5,,,4,5,3,6,5,5,5,6,2,3,1,27,,43.123092651367,-88.706298828125,-1,
R_7TxZuWWj790IPnn,Default Response Set,Anonymous,,,108.15.53.105,0,2014-05-17 09:43:38,2014-05-17 09:47:00,1,food stamps,safe sex,control,tax breaks,intelligent design,6,6,5,2,3,1,4,1,1,1,,1,,,,4,2,3,3,2,3,12.903,23.692999999999998,24.85,6,1,,,,1,,4,1,5,2,1,3,16.042,23.177000000000003,24.285,6,1,1,,,,,4,2,4,3,1,3,11.153,18.843000000000004,20.246,6,1,,,1,,,3,2,4,4,2,4,23.762,30.680999999999997,31.89,6,1,,,,,1,3,2,3,4,1,4,15.018,23.612000000000002,24.785,6,1,2,3,,,5,,,5,2,7,6,5,5,6,4,2,2,2,22,,39.298492431641,-76.969802856445,-1,
R_b11utOrxjAm8PmR,Default Response Set,Anonymous,,,73.48.188.4,0,2014-05-17 09:39:31,2014-05-17 09:47:07,1,control,safe sex,food stamps,tax breaks,intelligent design,6,6,1,2,4,3,5,1,1,1,1,,,,,1,5,1,5,5,5,27.582,114.29800000000002,116.007,10,1,,,,1,,2,4,3,4,3,4,63.67,78.97000000000001,79.783,7,1,,1,,,,2,4,3,4,3,4,31.239,45.251000000000005,46.232,10,1,,,1,,,3,3,3,3,3,4,39.42,48.226,49.217,6,1,,,,,1,3,3,3,4,3,4,31.621,39.489000000000004,40.386,6,1,3,5,,,5,,,2,4,4,4,6,1,7,7,1,1,1,32,thanks for the hit,37.901092529297,-121.39950561523,-1,
R_4MKpvD5Fq8PJkWh,Default Response Set,Anonymous,,,174.19.192.93,0,2014-05-17 09:40:34,2014-05-17 09:47:14,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,3,2,5,4,1,1,1,1,,1,,,,4,2,4,3,3,2,23.724,40.245999999999995,41.294,6,1,1,,,,,4,2,4,3,2,2,30.433,41.705000000000005,43.222,6,1,,,1,,,3,3,4,3,2,2,29.392,43.29699999999999,44.195,6,1,,,,,1,4,2,3,4,3,2,46.508,69.29200000000002,70.68,6,1,,,,1,,4,2,3,4,3,3,60.755,74.967,81.556,6,1,2,2,,,3,,,6,1,7,1,3,5,3,4,3,3,1,29,,33.352798461914,-111.78900146484,-1,
R_3y1dRCzv442zMH3,Default Response Set,Anonymous,,,71.135.39.52,0,2014-05-17 09:42:20,2014-05-17 09:47:18,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,5,2,3,4,1,1,1,1,1,,,,,5,1,5,1,1,1,13.913,18.012999999999998,20.826,6,1,,1,,,,5,1,5,1,1,3,20.529,29.307000000000002,29.928,8,1,,,1,,,1,5,2,4,3,5,44.856,57.549,58.075,8,1,,,,1,,3,1,5,4,2,1,22.161,31.050000000000004,31.769,8,1,,,,,1,4,1,3,5,2,1,2.604,55.638000000000005,56.229,9,1,1,4,,,5,,,5,7,7,1,6,1,7,6,1,4,1,24,,37.804397583008,-122.27079772949,-1,
R_4PmTPlaqhx9hXJX,Default Response Set,Anonymous,,,184.56.132.57,0,2014-05-17 09:38:17,2014-05-17 09:47:44,1,tax breaks,control,food stamps,safe sex,intelligent design,6,6,4,2,3,5,1,1,1,1,,,1,,,3,2,3,1,1,2,68.882,82.429,83.51,7,1,1,,,,,4,2,4,1,1,1,67.276,80.32399999999998,81.375,9,1,,1,,,,2,2,3,1,1,2,52.126,69.594,70.79,6,1,,,,1,,3,1,3,2,1,4,67.26,80.849,81.835,6,1,,,,,1,2,4,1,5,4,4,68.355,85.217,86.227,7,1,2,3,,,4,,,6,2,7,1,1,3,6,5,5,4,1,35,no,41.238800048828,-81.831497192383,-1,
R_8wWKIVR2BbQjTMN,Default Response Set,Anonymous,,,96.26.85.113,0,2014-05-17 09:41:35,2014-05-17 09:48:12,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,1,5,3,2,4,1,1,1,,1,,,,4,2,5,1,1,1,50.93,65.999,66.875,6,1,1,,,,,1,5,1,5,5,5,22.146,40.06900000000001,41.092,6,1,,,1,,,2,3,4,2,1,1,22.948,45.31700000000001,46.224,6,1,,,,1,,2,1,2,2,2,2,30.865,58.722,59.742,8,1,,,,,1,2,4,3,4,2,3,24.354,59.00900000000001,60.81,7,1,2,2,,,2,,,6,1,7,1,3,4,4,4,7,1,1,49,,38.954406738281,-76.869598388672,-1,
R_6sexLBVTIJP1wvH,Default Response Set,Anonymous,,,74.138.12.130,0,2014-05-17 09:40:00,2014-05-17 09:48:12,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,3,4,2,1,5,1,1,1,,1,,,,3,2,3,2,2,3,59.768,72.60500000000002,74.042,6,1,1,,,,,5,1,4,1,1,4,34.314,46.627,47.734,6,1,,,1,,,2,4,2,2,2,3,61.063,70.846,72.651,6,1,,,,,1,4,2,4,2,2,3,5.596,99.05999999999999,100.447,9,1,,,,1,,4,1,5,1,2,3,40.415,50.72,52.648,6,1,2,4,,,4,,,3,4,7,5,4,5,4,6,6,3,2,36,,37.988693237305,-84.487998962402,-1,
R_3lpcvwLEzdI5hhr,Default Response Set,Anonymous,,,71.179.209.54,0,2014-05-17 09:44:14,2014-05-17 09:48:31,1,tax breaks,food stamps,intelligent design,control,safe sex,6,6,1,4,5,2,3,1,1,1,,,1,,,3,3,2,5,4,5,23.985,42.040000000000006,42.969,8,1,,1,,,,4,2,4,1,1,1,9.212,19.724,20.469,6,1,,,,,1,4,2,3,4,2,4,15.788,26.884000000000004,27.694,6,1,1,,,,,4,2,4,2,2,3,13.002,30.713,31.548,6,1,,,,1,,3,3,3,4,4,2,11.26,23.733,24.431,6,1,1,4,,,6,,,5,4,7,4,7,5,6,7,1,1,1,37,,39.290405273438,-76.612197875977,-1,
R_0xHfaljrWqR2xvL,Default Response Set,Anonymous,,,65.87.51.45,0,2014-05-17 09:42:36,2014-05-17 09:49:15,1,tax breaks,food stamps,control,intelligent design,safe sex,6,6,3,1,2,4,5,1,1,1,,,1,,,3,2,2,4,4,4,37.212,66.06,67.312,6,1,,1,,,,5,2,4,4,2,2,17.635,30.971,32.089,7,1,1,,,,,4,1,4,4,2,2,15.345,26.911,28.087,6,1,,,,,1,4,3,2,4,4,4,128.05,149.223,151.645,6,1,,,,1,,4,3,4,4,3,4,20.86,35.679,37.523,6,1,2,1,,,2,,,7,1,7,1,2,5,5,2,5,5,2,28,,38.311904907227,-90.153503417969,-1,
R_3EgnVGgUapP9knb,Default Response Set,Anonymous,,,71.62.106.177,0,2014-05-17 09:42:20,2014-05-17 09:49:26,1,safe sex,food stamps,control,tax breaks,intelligent design,6,6,4,3,2,5,1,1,1,1,,,,1,,4,2,4,4,2,3,38.621,54.708000000000006,55.795,7,1,,1,,,,4,2,4,3,2,3,38.518,47.381,49.066,6,1,1,,,,,3,3,3,4,3,4,40.249,54.217000000000006,55.814,6,1,,,1,,,4,2,4,3,2,4,48.723,64.187,66.446,6,1,,,,,1,3,3,2,4,4,4,50.024,69.757,71.836,6,1,3,4,,,4,,,5,2,7,1,4,4,4,6,2,1,1,26,,38.272399902344,-77.593200683594,-1,
R_eDNbOzp8lsxQ7AN,Default Response Set,Anonymous,,,50.105.211.208,0,2014-05-17 09:45:30,2014-05-17 09:49:55,1,tax breaks,control,food stamps,safe sex,intelligent design,6,6,5,3,1,4,2,1,1,1,,,1,,,3,2,3,2,2,2,5.087,11.109,12.371,6,1,1,,,,,3,2,3,2,2,2,7.708,14.484,19.014,7,1,,1,,,,3,2,3,2,2,3,57.748,68.573,69.462,6,1,,,,1,,3,2,3,2,2,2,3.656,8.15,11.196,6,1,,,,,1,3,2,3,2,2,2,42.264,47.052000000000014,47.817,6,1,3,6,,,6,,,5,5,5,5,6,3,6,6,3,3,2,56,,43.567306518555,-89.318901062012,-1,
R_9GCZeu7O2pPMbkx,Default Response Set,Anonymous,,,98.148.96.56,0,2014-05-17 09:46:03,2014-05-17 09:50:48,1,tax breaks,safe sex,intelligent design,food stamps,control,6,6,1,4,5,3,2,1,1,1,,,1,,,3,3,2,4,4,4,30.504,50.126999999999995,51.146,11,1,,,,1,,3,3,4,4,3,2,8.076,43.149,43.872,12,1,,,,,1,2,3,2,4,4,4,10.527,42.077999999999996,42.514,8,1,,1,,,,3,3,3,4,3,2,5.61,25.587000000000003,26.583,14,1,1,,,,,3,3,3,4,3,4,19.156,36.593999999999994,39.133,8,1,2,2,,,2,,,6,4,6,1,3,5,5,4,3,6,1,27,,33.763107299805,-116.73640441895,-1,
R_bEejwNsUkOTpt5z,Default Response Set,Anonymous,,,174.55.197.222,0,2014-05-17 09:45:20,2014-05-17 09:50:56,1,safe sex,control,food stamps,intelligent design,tax breaks,6,6,1,3,5,4,2,1,1,1,,,,1,,2,4,2,5,4,4,66.029,83.716,86.29,7,1,1,,,,,4,2,5,2,2,2,28.679,39.201,41.051,6,1,,1,,,,4,2,3,3,2,3,27.105,33.232,34.272,6,1,,,,,1,2,4,1,4,4,4,18.321,29.982999999999997,31.124,6,1,,,1,,,4,2,3,3,2,4,34.714,43.67399999999999,45.3,6,1,2,1,,,2,,,6,2,7,1,3,5,4,3,6,3,1,24,,41.398803710938,-76.792198181152,-1,
R_82ZqKooyCQE5VNr,Default Response Set,Anonymous,,,71.59.145.61,0,2014-05-17 09:44:46,2014-05-17 09:51:00,1,food stamps,tax breaks,control,intelligent design,safe sex,6,6,3,4,5,2,1,1,1,1,,1,,,,1,5,2,5,5,5,30.038,45.822,46.424,8,1,,,1,,,5,1,5,2,1,3,27.446,39.205000000000005,40.233,6,1,1,,,,,4,2,4,5,1,5,29.758,38.638,41.618,7,1,,,,,1,2,4,2,5,3,4,52.507,63.467,64.12,9,1,,,,1,,2,3,2,5,3,4,70.725,88.66699999999999,93.563,8,1,2,2,,,3,,,5,4,7,4,7,1,7,7,1,1,1,35,,45.514602661133,-122.5991973877,-1,
